Paper Code             , AE       
CutOff(GEN)            , 29.30    
CutOff(OBC)            , 26.30    
CutOff(ST/SC/PwD)      , 19.50    
CutOff(GEN) GATEScore  , 350      
CutOff(OBC) GATEScore  , 314      
CutOff(ST/SC/PwD) GATE , 233      

Paper Code             , AG       
CutOff(GEN)            , 25.00    
CutOff(OBC)            , 22.50    
CutOff(ST/SC/PwD)      , 16.60    
CutOff(GEN) GATEScore  , 350      
CutOff(OBC) GATEScore  , 273      
CutOff(ST/SC/PwD) GATE , 90       

Paper Code             , AR       
CutOff(GEN)            , 38.90    
CutOff(OBC)            , 35.00    
CutOff(ST/SC/PwD)      , 25.90    
CutOff(GEN) GATEScore  , 349      
CutOff(OBC) GATEScore  , 278      
CutOff(ST/SC/PwD) GATE , 111      

Paper Code             , BT       
CutOff(GEN)            , 27.00    
CutOff(OBC)            , 24.30    
CutOff(ST/SC/PwD)      , 18.00    
CutOff(GEN) GATEScore  , 349      
CutOff(OBC) GATEScore  , 303      
CutOff(ST/SC/PwD) GATE , 194      

Paper Code             , CE       
CutOff(GEN)            , 25.00    
CutOff(OBC)            , 22.50    
CutOff(ST/SC/PwD)      , 16.60    
CutOff(GEN) GATEScore  , 350      
CutOff(OBC) GATEScore  , 323      
CutOff(ST/SC/PwD) GATE , 258      

Paper Code             , CH       
CutOff(GEN)            , 33.10    
CutOff(OBC)            , 29.70    
CutOff(ST/SC/PwD)      , 22.00    
CutOff(GEN) GATEScore  , 349      
CutOff(OBC) GATEScore  , 305      
CutOff(ST/SC/PwD) GATE , 204      

Paper Code             , CS       
CutOff(GEN)            , 25.00    
CutOff(OBC)            , 22.50    
CutOff(ST/SC/PwD)      , 16.60    
CutOff(GEN) GATEScore  , 350      
CutOff(OBC) GATEScore  , 322      
CutOff(ST/SC/PwD) GATE , 256      

Paper Code             , CY       
CutOff(GEN)            , 29.10    
CutOff(OBC)            , 26.10    
CutOff(ST/SC/PwD)      , 19.40    
CutOff(GEN) GATEScore  , 348      
CutOff(OBC) GATEScore  , 301      
