Paper, Formula, Formula-with value, GATEScore
AR, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.1 - 35.16529901797646 ) / ( 68.433 - 35.16529901797646  ) ) ) ) , 349
AR, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.16529901797646 - 35.16529901797646 ) / ( 68.433 - 35.16529901797646  ) ) ) ) , 350
BT, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 37.4 - 37.492421731634835 ) / ( 76.632 - 37.492421731634835  ) ) ) ) , 349
BT, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 37.492421731634835 - 37.492421731634835 ) / ( 76.632 - 37.492421731634835  ) ) ) ) , 350
CH, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 44.3 - 44.300270816326346 ) / ( 87.02133333333333 - 44.300270816326346  ) ) ) ) , 350
CH, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 44.300270816326346 - 44.300270816326346 ) / ( 87.02133333333333 - 44.300270816326346  ) ) ) ) , 350
CY, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 60.916250000000005 - 25.0  ) ) ) ) , 350
CY, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 60.916250000000005 - 25.0  ) ) ) ) , 350
EC, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 68.93859154929577 - 25.0  ) ) ) ) , 350
EC, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 68.93859154929577 - 25.0  ) ) ) ) , 350
GG, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.3 - 33.33102714194684 ) / ( 71.234 - 33.33102714194684  ) ) ) ) , 350
GG, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.33102714194684 - 33.33102714194684 ) / ( 71.234 - 33.33102714194684  ) ) ) ) , 350
IN, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 34.0 - 34.0353190939371 ) / ( 82.82076923076923 - 34.0353190939371  ) ) ) ) , 350
IN, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 34.0353190939371 - 34.0353190939371 ) / ( 82.82076923076923 - 34.0353190939371  ) ) ) ) , 350
MA, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 53.43300000000001 - 25.0  ) ) ) ) , 350
MA, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 53.43300000000001 - 25.0  ) ) ) ) , 350
