RegistrationId, ApplicationId, NormalizedMarks, GATE-Score, AIR, RawMarks, MCQ-Rank, MCQ-Mraks, NAT-Rank, NAT-Marks, IsQualified, GenCutoff, OBCCutoff, SC/ST/PD CuttOff
AG17S21218001,R344A32,0.0,1000,1,61.67,1,35.67,5,26.0,true,25.0,22.5,16.6
AG17S22069004,R334T27,0.0,971,2,58.33,2,34.33,11,24.0,true,25.0,22.5,16.6
AG17S21249032,R299S91,0.0,952,3,57.33,34,25.33,1,32.0,true,25.0,22.5,16.6
AG17S25017046,R113E19,0.0,933,4,56.33,6,31.33,6,25.0,true,25.0,22.5,16.6
AG17S27001048,R273C24,0.0,884,5,53.67,9,29.67,11,24.0,true,25.0,22.5,16.6
AG17S23030004,R101U48,0.0,871,6,53.0,39,25.0,2,28.0,true,25.0,22.5,16.6
AG17S28011013,R347Y68,0.0,871,6,53.0,13,28.0,6,25.0,true,25.0,22.5,16.6
AG17S21249034,R285P35,0.0,828,8,50.67,31,25.67,6,25.0,true,25.0,22.5,16.6
AG17S28012007,R136R61,0.0,828,8,50.67,4,31.67,33,19.0,true,25.0,22.5,16.6
AG17S28020034,R359Y78,0.0,828,8,50.67,4,31.67,33,19.0,true,25.0,22.5,16.6
AG17S26054064,R172K57,0.0,828,8,50.67,3,33.67,48,17.0,true,25.0,22.5,16.6
AG17S25004010,R160G24,0.0,822,12,50.33,25,26.33,11,24.0,true,25.0,22.5,16.6
AG17S22054003,R101T90,0.0,816,13,50.0,54,23.0,4,27.0,true,25.0,22.5,16.6
AG17S21210003,R107D47,0.0,797,14,49.0,50,24.0,6,25.0,true,25.0,22.5,16.6
AG17S28011031,R243K43,0.0,791,15,48.67,43,24.67,11,24.0,true,25.0,22.5,16.6
AG17S21402003,R259N73,0.0,766,16,47.33,34,25.33,22,22.0,true,25.0,22.5,16.6
AG17S25017043,R113E21,0.0,747,17,46.33,132,18.33,2,28.0,true,25.0,22.5,16.6
AG17S24016104,R210Z18,0.0,741,18,46.0,10,29.0,48,17.0,true,25.0,22.5,16.6
AG17S25006011,R289X31,0.0,735,19,45.67,89,20.67,6,25.0,true,25.0,22.5,16.6
AG17S27001122,R273V94,0.0,735,19,45.67,58,22.67,19,23.0,true,25.0,22.5,16.6
AG17S23055016,R180Y19,0.0,735,19,45.67,11,28.67,48,17.0,true,25.0,22.5,16.6
AG17S26052091,R264M85,0.0,729,22,45.33,8,30.33,66,15.0,true,25.0,22.5,16.6
AG17S23055127,R232X49,0.0,710,23,44.33,51,23.33,27,21.0,true,25.0,22.5,16.6
AG17S24047025,R299V16,0.0,704,24,44.0,99,20.0,11,24.0,true,25.0,22.5,16.6
AG17S28012013,R312G12,0.0,704,24,44.0,54,23.0,27,21.0,true,25.0,22.5,16.6
AG17S28012010,R144D75,0.0,704,24,44.0,29,26.0,43,18.0,true,25.0,22.5,16.6
AG17S23055067,R375B72,0.0,698,27,43.67,70,21.67,22,22.0,true,25.0,22.5,16.6
AG17S26044001,R143R30,0.0,698,27,43.67,58,22.67,27,21.0,true,25.0,22.5,16.6
AG17S28012016,R214N21,0.0,698,27,43.67,15,27.67,54,16.0,true,25.0,22.5,16.6
AG17S23013042,R402D46,0.0,698,27,43.67,7,30.67,94,13.0,true,25.0,22.5,16.6
AG17S26043001,R113Q67,0.0,685,31,43.0,99,20.0,19,23.0,true,25.0,22.5,16.6
AG17S24016028,R311G28,0.0,667,32,42.0,23,27.0,66,15.0,true,25.0,22.5,16.6
AG17S26044019,R275P16,0.0,660,33,41.67,154,17.67,11,24.0,true,25.0,22.5,16.6
AG17S24035014,R111S85,0.0,654,34,41.33,60,22.33,33,19.0,true,25.0,22.5,16.6
AG17S25017058,R226T83,0.0,648,35,41.0,79,21.0,31,20.0,true,25.0,22.5,16.6
AG17S24033001,R138E47,0.0,648,35,41.0,39,25.0,54,16.0,true,25.0,22.5,16.6
AG17S27001112,R277A82,0.0,642,37,40.67,107,19.67,27,21.0,true,25.0,22.5,16.6
AG17S25017130,R209U95,0.0,642,37,40.67,70,21.67,33,19.0,true,25.0,22.5,16.6
AG17S23013074,R255C22,0.0,635,39,40.33,132,18.33,22,22.0,true,25.0,22.5,16.6
AG17S25003037,R134W92,0.0,635,39,40.33,93,20.33,31,20.0,true,25.0,22.5,16.6
AG17S25019003,R168D83,0.0,635,39,40.33,73,21.33,33,19.0,true,25.0,22.5,16.6
AG17S27098001,R126Q69,0.0,635,39,40.33,25,26.33,80,14.0,true,25.0,22.5,16.6
AG17S26044003,R225D89,0.0,635,39,40.33,12,28.33,111,12.0,true,25.0,22.5,16.6
AG17S22070004,R334V19,0.0,629,44,40.0,79,21.0,33,19.0,true,25.0,22.5,16.6
AG17S27081001,R484D16,0.0,629,44,40.0,63,22.0,43,18.0,true,25.0,22.5,16.6
